iter	F1	Logloss
0	0.6080786026	0.519052205
1	0.6814159292	0.4103683742
2	0.7258064516	0.3297109298
3	0.7443850267	0.2633112834
4	0.7656415695	0.2371375597
5	0.7674294838	0.2184461795
6	0.7888362296	0.1911258418
7	0.8086866598	0.1746846174
8	0.8151950719	0.1661642789
9	0.8280060883	0.155497435
10	0.8386444107	0.1491980329
11	0.8414634146	0.1446177791
12	0.8548305513	0.1388724716
13	0.8613065327	0.134566548
14	0.8624497992	0.1310793713
15	0.8648648649	0.1271648449
16	0.8728897716	0.1221102574
17	0.8777832756	0.117992403
18	0.884729064	0.1150093065
19	0.8891069676	0.1122456423
20	0.8869223206	0.11047536
21	0.8876900441	0.1081140664
22	0.8896517901	0.1063312691
23	0.8935546875	0.1040484992
24	0.8951730863	0.1005911913
25	0.897323601	0.098926607
26	0.8984944148	0.09735300424
27	0.8983957219	0.09489407688
28	0.9000969932	0.09347205941
29	0.9040697674	0.09219708419
30	0.9059165858	0.09139211461
31	0.9100580271	0.08902666265
32	0.9137349398	0.08669127457
33	0.9157438613	0.08595353619
34	0.920787326	0.08293798276
35	0.9203454894	0.0815620599
36	0.9209391471	0.08071626539
37	0.9219722355	0.07995254852
38	0.9240324892	0.07892599383
39	0.9265267176	0.0776284127
40	0.9254302103	0.07668119374
41	0.9264565425	0.07581448435
42	0.9278547539	0.07471243412
43	0.929321872	0.073556557
44	0.9292543021	0.07273188659
45	0.9307875895	0.07204814227
46	0.9307214525	0.07149420813
47	0.9332061069	0.069589864
48	0.9382716049	0.06849181064
49	0.9382129278	0.06738579557
50	0.9397247271	0.06666040634
51	0.9397247271	0.06607463636
52	0.9417337755	0.06503851078
53	0.943628612	0.06410433371
54	0.9426811937	0.06328281469
55	0.9435751541	0.06221452409
56	0.9455750118	0.06150330894
57	0.946572104	0.06051836157
58	0.9483657035	0.05995312453
59	0.9473684211	0.05869228293
60	0.9508506616	0.05768015425
61	0.9517958412	0.05725442114
62	0.9522458629	0.05603487352
63	0.9503546099	0.05479077109
64	0.9522909778	0.05444322132
65	0.9537735849	0.05358164755
66	0.9552098067	0.05267207102
67	0.956194065	0.05238852037
68	0.9561527581	0.05150698756
69	0.9571361281	0.05100643363
70	0.9575871819	0.05030867734
71	0.958529689	0.04969817284
72	0.9599623175	0.04922102115
73	0.9604519774	0.04857828611
74	0.9618823529	0.04802050349
75	0.9618823529	0.04760688648
76	0.9633458647	0.04720418054
77	0.9637647059	0.04635518239
78	0.9647390691	0.04610601581
79	0.9647390691	0.04533887255
80	0.9647390691	0.04483833025
81	0.9666823088	0.04422977116
82	0.967590418	0.04390052948
