iter	F1	Logloss
0	0.7006697579	0.5009601909
1	0.7041036717	0.3943410405
2	0.7245164663	0.2987766715
3	0.7582121702	0.2592939951
4	0.7535596933	0.2388474729
5	0.7815482503	0.2130435019
6	0.8031413613	0.1904688178
7	0.8103896104	0.1782422865
8	0.818134445	0.1668222792
9	0.8239545689	0.1589108471
10	0.829218107	0.1529734174
11	0.8403275333	0.1441346094
12	0.8469387755	0.1396330543
13	0.8510421962	0.1359044878
14	0.8571428571	0.1325897159
15	0.8646200302	0.1270103622
16	0.8679055751	0.1229763741
17	0.8773678963	0.1186616112
18	0.8787276342	0.1151577505
19	0.8837209302	0.1117565896
20	0.8836057454	0.1099466627
21	0.8860384805	0.1072553882
22	0.8899803536	0.1057366438
23	0.8988764045	0.1022425791
24	0.9052017501	0.1003071237
25	0.903163017	0.09812466825
26	0.9047619048	0.09640337569
27	0.9076848719	0.09524024929
28	0.9097925712	0.09407995468
29	0.9157438613	0.09196910448
30	0.9167067886	0.09014130686
31	0.9195402299	0.08787761895
32	0.9195402299	0.08728853105
33	0.9211657907	0.08548356776
34	0.9221213569	0.08360116019
35	0.9250596659	0.08212635403
36	0.9260143198	0.08038484021
37	0.9251311397	0.07931153885
38	0.9290138161	0.07866756489
39	0.9299666508	0.07800768436
40	0.9309852451	0.07697348464
41	0.9301662708	0.07623810565
42	0.9300998573	0.07455430551
43	0.930674264	0.07310609534
44	0.9358059914	0.07142039699
45	0.9405045217	0.06997093413
46	0.939552594	0.06955300688
47	0.9425178147	0.06831393938
48	0.9458689459	0.0665493146
49	0.9454200285	0.06615523202
50	0.9449192783	0.06569939424
51	0.9459203036	0.06446084894
52	0.9440227704	0.06391771532
53	0.9435751541	0.0633582735
54	0.9450757576	0.06278643454
55	0.9455750118	0.06204808062
56	0.9464708669	0.0613614535
57	0.9498106061	0.06055073667
58	0.9479659413	0.05960770413
59	0.9470699433	0.05882660341
60	0.9480151229	0.05827192937
61	0.95	0.05751596909
62	0.9519774011	0.05682390386
63	0.9528746466	0.05614682108
64	0.9524258125	0.05614176999
65	0.9524258125	0.05572213062
66	0.9529633114	0.055251951
67	0.9534555712	0.05433946998
68	0.9524705882	0.05376288326
69	0.9524705882	0.05375699311
70	0.9529633114	0.05347248481
71	0.9543958627	0.05311995152
72	0.9557438795	0.05208119583
73	0.9557855127	0.05154306717
74	0.9577464789	0.05086423394
75	0.9591740967	0.05026480883
76	0.9601500234	0.04984231475
77	0.9601500234	0.04983987812
78	0.9606003752	0.04940569026
79	0.9620608899	0.04874028949
