iter	Passed	Remaining
0	30	15151
1	58	14632
2	86	14391
3	117	14566
4	169	16740
5	197	16271
6	231	16324
7	260	15997
8	297	16230
9	326	16002
10	379	16867
11	411	16748
12	457	17137
13	486	16901
14	521	16853
15	551	16675
16	583	16568
17	610	16360
18	648	16424
19	682	16383
20	728	16617
21	758	16480
22	788	16349
23	817	16216
24	855	16253
25	885	16139
26	934	16371
27	969	16337
28	1016	16501
29	1044	16367
30	1077	16307
31	1110	16236
32	1142	16163
33	1188	16287
34	1232	16376
35	1264	16297
36	1312	16420
37	1349	16407
38	1389	16429
39	1419	16328
40	1471	16473
41	1502	16388
42	1547	16448
43	1578	16359
44	1611	16290
45	1642	16206
46	1675	16151
47	1707	16077
48	1786	16447
49	1819	16378
50	1854	16327
51	1902	16393
52	1948	16436
53	1996	16490
54	2057	16650
55	2090	16573
56	2152	16732
57	2184	16645
58	2230	16671
59	2263	16599
60	2309	16620
61	2339	16529
62	2374	16469
63	2409	16411
64	2438	16320
65	2478	16299
66	2554	16507
67	2584	16421
68	2645	16522
69	2678	16450
70	2741	16564
71	2770	16470
72	2802	16392
73	2832	16305
74	2885	16351
75	2932	16361
76	2991	16436
77	3023	16358
78	3052	16265
79	3090	16227
80	3125	16165
81	3154	16081
82	3200	16077
83	3234	16020
84	3284	16034
85	3314	15954
86	3356	15935
87	3387	15860
88	3418	15784
89	3446	15699
90	3482	15650
91	3510	15566
92	3539	15489
93	3568	15414
94	3624	15451
95	3652	15369
96	3680	15291
97	3709	15217
98	3751	15193
99	3778	15114
100	3807	15040
101	3837	14972
102	3879	14952
103	3908	14881
104	3940	14824
105	3968	14750
106	3997	14682
107	4024	14608
108	4068	14594
109	4099	14535
110	4128	14469
111	4156	14399
112	4192	14358
113	4220	14291
114	4256	14249
115	4284	14184
116	4313	14121
117	4342	14057
118	4387	14048
119	4418	13992
120	4480	14033
121	4509	13971
122	4562	13983
123	4592	13926
124	4660	13980
125	4694	13935
126	4734	13904
127	4765	13850
128	4795	13791
129	4824	13730
130	4853	13672
131	4881	13609
132	4922	13584
133	4950	13520
134	4985	13478
135	5013	13417
136	5047	13374
137	5076	13315
138	5105	13259
139	5133	13200
140	5176	13181
141	5204	13122
142	5234	13067
143	5264	13015
144	5303	12984
145	5330	12925
146	5364	12882
147	5393	12828
148	5426	12782
149	5454	12726
150	5503	12719
151	5533	12669
152	5562	12616
153	5591	12563
154	5625	12521
155	5655	12471
156	5702	12458
157	5732	12407
158	5764	12362
159	5793	12312
160	5821	12258
161	5849	12204
162	5878	12153
163	5922	12133
164	5954	12088
165	5983	12038
166	6012	11989
167	6041	11938
168	6095	11938
169	6131	11903
170	6190	11910
171	6222	11865
172	6281	11873
173	6311	11825
174	6346	11786
175	6379	11744
176	6438	11749
177	6467	11699
178	6502	11661
179	6537	11621
180	6583	11602
181	6612	11553
182	6646	11513
183	6676	11465
184	6710	11425
185	6737	11374
186	6776	11343
187	6804	11292
188	6834	11245
189	6862	11196
190	6932	11214
191	6962	11169
192	7025	11175
193	7060	11136
194	7104	11112
195	7136	11068
196	7180	11044
197	7210	10998
198	7261	10983
199	7291	10936
200	7339	10918
201	7369	10871
202	7405	10833
203	7439	10793
204	7499	10792
205	7533	10751
206	7594	10749
207	7622	10701
208	7661	10667
209	7688	10617
210	7720	10574
211	7751	10529
212	7785	10490
213	7815	10445
214	7846	10400
215	7876	10355
216	7911	10318
217	7939	10270
218	7968	10223
219	7995	10176
220	8039	10149
221	8067	10102
222	8097	10058
223	8125	10012
224	8167	9982
225	8195	9935
226	8231	9899
227	8259	9853
228	8287	9807
229	8314	9760
230	8373	9751
231	8401	9705
232	8430	9660
233	8458	9615
234	8500	9585
235	8528	9540
236	8564	9503
237	8591	9458
238	8629	9423
239	8657	9378
240	8691	9340
241	8719	9295
242	8752	9257
243	8792	9224
244	8852	9213
245	8880	9169
246	8916	9132
247	8951	9095
248	8994	9067
249	9025	9025
250	9104	9031
251	9133	8988
252	9165	8947
253	9194	8904
254	9236	8874
255	9267	8832
256	9317	8809
257	9348	8769
258	9412	8758
259	9445	8718
260	9506	8705
261	9553	8678
262	9620	8669
263	9650	8626
264	9697	8599
265	9729	8558
266	9781	8535
267	9812	8494
268	9856	8464
269	9885	8421
270	9935	8396
271	9967	8354
272	9999	8314
273	10026	8269
274	10058	8229
275	10086	8186
276	10142	8164
277	10174	8125
278	10216	8093
279	10246	8050
280	10278	8010
281	10309	7970
282	10339	7928
283	10372	7889
284	10405	7849
285	10439	7811
286	10472	7772
287	10503	7731
288	10547	7700
289	10578	7660
290	10611	7621
291	10645	7582
292	10705	7563
293	10733	7521
294	10770	7484
295	10800	7443
296	10835	7406
297	10868	7366
298	10915	7337
299	10944	7296
300	10976	7256
301	11005	7215
