iter	Passed	Remaining
0	28	14206
1	55	13900
2	89	14795
3	113	14076
4	153	15240
5	181	14918
6	208	14702
7	235	14475
8	281	15351
9	311	15270
10	349	15534
11	379	15443
12	409	15356
13	439	15259
14	485	15691
15	515	15583
16	546	15530
17	577	15475
18	617	15619
19	661	15873
20	689	15720
21	715	15554
22	743	15418
23	772	15330
24	834	15859
25	864	15758
26	897	15715
27	928	15644
28	960	15604
29	990	15520
30	1024	15505
31	1057	15470
32	1146	16224
33	1178	16156
34	1223	16260
35	1253	16156
36	1293	16192
37	1326	16132
38	1370	16197
39	1398	16081
40	1430	16015
41	1460	15921
42	1496	15906
43	1528	15838
44	1572	15904
45	1605	15846
46	1666	16061
47	1697	15981
48	1727	15900
49	1785	16067
50	1856	16347
51	1914	16495
52	1999	16864
53	2034	16799
54	2080	16835
55	2111	16741
56	2143	16658
57	2173	16560
58	2205	16484
59	2235	16392
60	2282	16425
61	2314	16349
62	2376	16481
63	2403	16375
64	2431	16275
65	2473	16267
66	2502	16172
67	2529	16069
68	2582	16132
69	2612	16046
70	2663	16095
71	2691	15999
72	2724	15938
73	2751	15838
74	2779	15750
75	2806	15656
76	2834	15573
77	2862	15487
78	2890	15401
79	2923	15346
80	2977	15402
81	3005	15322
82	3034	15245
83	3062	15164
84	3107	15172
85	3141	15125
86	3178	15087
87	3212	15038
88	3251	15014
89	3281	14948
90	3311	14884
91	3340	14815
92	3376	14778
93	3411	14732
94	3439	14664
95	3471	14607
96	3505	14565
97	3535	14504
98	3566	14448
99	3597	14391
100	3628	14335
101	3656	14266
102	3693	14234
103	3721	14170
104	3758	14138
105	3786	14074
106	3818	14026
107	3854	13990
108	3896	13976
109	3923	13911
110	3959	13876
111	3986	13811
112	4015	13752
113	4047	13704
114	4077	13650
115	4105	13590
116	4143	13562
117	4176	13520
118	4219	13508
119	4249	13457
120	4278	13400
121	4314	13367
122	4344	13314
123	4372	13257
124	4405	13215
125	4433	13159
126	4463	13110
127	4497	13069
128	4527	13019
129	4557	12970
130	4591	12933
131	4620	12881
132	4648	12828
133	4678	12778
134	4733	12797
135	4761	12743
136	4791	12694
137	4820	12645
138	4860	12623
139	4889	12574
140	4921	12529
141	4949	12478
142	4977	12426
143	5005	12373
144	5035	12328
145	5063	12276
146	5091	12225
147	5120	12178
148	5151	12134
149	5180	12087
150	5243	12119
151	5272	12071
152	5320	12066
153	5347	12015
154	5375	11965
155	5404	11918
156	5467	11945
157	5496	11897
158	5554	11913
159	5584	11867
160	5616	11825
161	5643	11775
162	5671	11726
163	5696	11669
164	5724	11621
165	5752	11573
166	5790	11545
167	5818	11497
168	5869	11496
169	5898	11450
170	5926	11401
171	5968	11381
172	6030	11399
173	6073	11379
174	6128	11380
175	6165	11349
176	6206	11326
177	6258	11320
178	6297	11292
179	6329	11252
180	6376	11237
181	6406	11192
182	6438	11153
183	6472	11115
184	6504	11074
185	6534	11031
186	6568	10994
187	6597	10949
188	6627	10906
189	6655	10859
190	6685	10815
191	6714	10770
192	6746	10730
193	6776	10688
194	6836	10693
195	6875	10664
196	6924	10651
197	6968	10629
198	7006	10598
199	7039	10559
200	7083	10536
201	7111	10490
202	7150	10461
203	7183	10422
204	7243	10423
205	7271	10378
206	7306	10341
207	7334	10295
208	7371	10263
209	7399	10218
210	7436	10184
211	7469	10147
212	7515	10126
213	7549	10089
214	7627	10110
215	7655	10065
216	7685	10022
217	7717	9983
218	7749	9943
219	7782	9905
220	7819	9871
221	7852	9833
222	7898	9811
223	7929	9770
224	7980	9753
225	8002	9701
226	8057	9689
227	8085	9646
228	8114	9602
229	8142	9558
230	8172	9516
231	8201	9473
232	8240	9442
233	8268	9399
234	8352	9418
235	8382	9376
236	8432	9357
237	8461	9314
238	8492	9274
239	8521	9232
240	8559	9198
241	8592	9161
242	8624	9121
243	8654	9079
244	8683	9038
245	8711	8994
246	8764	8977
247	8793	8935
248	8826	8897
249	8855	8855
250	8885	8814
251	8914	8772
252	8954	8741
253	8983	8700
254	9011	8657
255	9043	8619
256	9076	8581
257	9106	8541
258	9146	8510
259	9175	8469
260	9237	8458
261	9266	8417
262	9300	8381
263	9329	8340
264	9359	8299
265	9389	8259
266	9440	8238
267	9470	8198
268	9501	8159
269	9529	8117
270	9566	8083
271	9596	8043
272	9626	8004
273	9665	7972
274	9694	7932
275	9722	7890
276	9794	7884
277	9823	7844
278	9852	7804
279	9880	7763
280	9914	7726
281	9942	7686
282	9979	7651
283	10009	7612
284	10048	7580
285	10098	7556
286	10139	7525
287	10170	7486
288	10200	7447
289	10228	7406
290	10259	7368
291	10289	7329
292	10325	7294
293	10353	7254
294	10383	7215
295	10420	7181
296	10451	7143
297	10483	7106
298	10520	7072
299	10556	7037
300	10650	7041
301	10679	7001
302	10719	6969
303	10747	6929
304	10793	6900
305	10825	6863
306	10857	6825
307	10891	6789
308	10955	6771
309	10984	6732
310	11047	6713
311	11081	6677
312	11151	6662
313	11198	6633
314	11254	6609
315	11284	6570
316	11333	6542
317	11362	6502
318	11395	6465
319	11422	6425
320	11451	6385
321	11481	6346
322	11538	6323
323	11568	6284
324	11602	6247
325	11632	6208
326	11692	6186
327	11727	6149
328	11772	6118
329	11802	6079
330	11853	6052
331	11883	6013
332	11934	5985
333	11964	5946
334	12013	5916
335	12043	5878
336	12077	5841
337	12109	5803
338	12173	5781
339	12200	5741
340	12233	5704
341	12263	5665
342	12319	5638
343	12363	5606
344	12423	5581
345	12455	5543
346	12504	5513
347	12537	5476
348	12580	5442
349	12608	5403
350	12639	5365
351	12667	5325
352	12695	5286
353	12722	5247
354	12754	5209
355	12782	5170
356	12811	5131
357	12838	5092
358	12881	5059
359	12909	5020
360	12938	4981
361	12965	4942
362	13006	4908
363	13042	4873
364	13072	4834
365	13099	4796
366	13148	4764
367	13177	4726
368	13204	4687
369	13232	4649
370	13261	4611
371	13288	4572
372	13324	4536
373	13353	4498
374	13388	4462
375	13419	4425
376	13454	4389
377	13483	4351
378	13514	4314
379	13544	4277
380	13600	4247
381	13633	4211
382	13693	4183
383	13726	4146
384	13769	4113
385	13798	4075
386	13831	4038
387	13860	4000
388	13890	3963
389	13927	3928
390	13979	3897
391	14008	3859
392	14077	3832
393	14109	3795
394	14167	3766
395	14194	3727
396	14222	3690
397	14250	3652
398	14278	3614
399	14306	3576
400	14343	3541
401	14371	3503
402	14399	3465
403	14427	3428
404	14466	3393
405	14502	3357
406	14546	3323
407	14575	3286
408	14611	3250
409	14638	3213
410	14666	3175
411	14692	3138
412	14721	3101
413	14748	3063
414	14785	3028
415	14812	2991
416	14851	2956
417	14881	2919
418	14913	2883
419	14938	2845
420	14976	2810
421	15004	2773
422	15040	2737
423	15068	2700
424	15103	2665
425	15135	2629
426	15181	2595
427	15208	2558
428	15246	2523
429	15273	2486
430	15309	2450
431	15336	2414
432	15371	2378
433	15402	2342
434	15428	2305
435	15455	2268
436	15485	2232
437	15512	2195
438	15550	2160
439	15576	2124
440	15605	2087
441	15646	2053
442	15689	2018
443	15715	1982
444	15751	1946
445	15777	1910
446	15812	1874
447	15840	1838
448	15866	1802
449	15893	1765
450	15924	1730
451	15952	1694
452	15980	1658
453	16007	1621
454	16033	1585
455	16061	1549
456	16097	1514
457	16123	1478
458	16151	1442
459	16178	1406
460	16208	1371
461	16238	1335
462	16278	1300
463	16336	1267
464	16368	1232
465	16395	1196
466	16434	1161
467	16467	1125
468	16508	1091
469	16535	1055
470	16563	1019
471	16589	984
472	16618	948
473	16648	913
474	16686	878
475	16719	842
476	16766	808
477	16793	772
478	16820	737
479	16850	702
480	16881	666
481	16913	631
482	16971	597
483	17008	562
484	17055	527
485	17081	492
486	17114	456
487	17140	421
488	17166	386
489	17194	350
490	17221	315
491	17262	280
492	17307	245
493	17332	210
494	17385	175
495	17410	140
496	17467	105
497	17492	70
498	17526	35
499	17551	0
